"module","gene","EntrezGene.ID","Z-ESR1","Z-ERBB2","Z-AURKA","Z-survival","cytoband","alias","description"
,"RUNX3",864,-16.08,-4.17,2.48,0.61,"1p36","AML2|CBFA3|FLJ34510|MGC16070|PEBP2aC","runt-related transcription factor 3"
,"SIRPA",140885,-16.08,-4.92,-3.51,0.79,"20p13","BIT|CD172A|MFR|MYD-1|P84|PTPNS1|SHPS-1|SHPS1|SIRP|SIRP-ALPHA-1|SIRPalpha|SIRPalpha2","signal-regulatory protein alpha"
,"TUBB6",84617,-16.17,-8.45,-1.31,3.1,"18p11.21","HsT1601|MGC132410|MGC4083|TUBB-5","tubulin, beta 6"
,"CTSC",1075,-16.18,-0.48,5.72,2.55,"11q14.1-q14.3","CPPI|DPP1|DPPI|HMS|JP|JPD|PALS|PLS","cathepsin C"
,"KIAA0020",9933,-16.2,-9.24,6.92,2.09,"9p24.2","HLA-HA8|MGC8749|XTP5","KIAA0020"
,"PNRC1",10957,-16.2,-2.95,-11.52,-2.53,"6q15","B4-2|PNAS-145|PROL2|PRR2|RP11-63L7.5","proline-rich nuclear receptor coactivator 1"
,"GPM6B",2824,-16.22,-6.56,-7.05,0.12,"Xp22.2","M6B|MGC17150|MGC54284","glycoprotein M6B"
,"SLC5A6",8884,-16.27,3.29,7.92,3.07,"2p23","SMVT","solute carrier family 5 (sodium-dependent vitamin transporter), member 6"
,"UQCRH",7388,-16.27,-2.95,14.42,4.17,"1p33","MGC111572","ubiquinol-cytochrome c reductase hinge protein"
,"SCPEP1",59342,-16.29,1.25,-7.54,-1.57,"17q22","HSCP1|RISC","serine carboxypeptidase 1"
,"IMPA2",3613,-16.29,-6.13,13.59,5.14,"18p11.2","NA","inositol(myo)-1(or 4)-monophosphatase 2"
,"MYO10",4651,-16.36,3.04,5.64,4.98,"5p15.1-p14.3","FLJ10639|FLJ21066|FLJ22268|FLJ43256|KIAA0799|MGC131988","myosin X"
,"SOX11",6664,-16.51,10.18,6.47,4.13,"2p25","NA","SRY (sex determining region Y)-box 11"
,"NCK2",8440,-16.61,-1.48,0.35,1.12,"2q12","GRB4|NCKbeta","NCK adaptor protein 2"
,"KLF5",688,-16.62,-5.06,1.55,2.05,"13q22.1","BTEB2|CKLF|IKLF","Kruppel-like factor 5 (intestinal)"
,"ALDH1A3",220,-16.63,1.84,-9.15,0.17,"15q26.3","ALDH1A6|ALDH6|RALDH3","aldehyde dehydrogenase 1 family, member A3"
,"RGMA",56963,-16.7,-8.91,-9.67,-1.26,"15q26.1","RGM","RGM domain family, member A"
,"MSL3L1",10943,-16.73,-1.36,1.99,1.44,"Xp22.3","DKFZP586J1822","male-specific lethal 3-like 1 (Drosophila)"
,"KRT7",3855,-16.76,9.77,-2.84,2.84,"12q12-q13","CK7|K2C7|K7|MGC129731|MGC3625|SCL","keratin 7"
,"FLJ36031",168455,-16.79,-1.7,1.06,2.45,"7q22.3","NA","hypothetical protein FLJ36031"
,"CREB3L2",64764,-16.85,-4.41,-3.95,1.5,"7q34","BBF2H7|MGC131709|MGC71006","cAMP responsive element binding protein 3-like 2"
,"C1R",715,-16.86,-2.24,-14.54,-1.25,"12p13","NA","complement component 1, r subcomponent"
,"EN1",2019,-16.87,-7.68,4.05,2.08,"2q13-q21","NA","engrailed homolog 1"
,"CHST11",50515,-16.88,1.82,6.09,2.16,"12q","C4ST|C4ST-1|C4ST1|HSA269537","carbohydrate (chondroitin 4) sulfotransferase 11"
,"ADFP",123,-16.93,-3.94,7.07,6.93,"9p22.1","ADRP|MGC10598","adipose differentiation-related protein"
,"TTLL4",9654,-16.93,-3.68,7.42,1.89,"2p24.3-p24.1","KIAA0173","tubulin tyrosine ligase-like family, member 4"
,"PLCG2",5336,-16.93,-8.18,2.62,1.49,"16q24.1","NA","phospholipase C, gamma 2 (phosphatidylinositol-specific)"
,"DAPK1",1612,-16.98,-4.37,6.06,2.66,"9q34.1","DAPK|DKFZp781I035","death-associated protein kinase 1"
,"TNFAIP3",7128,-17.05,-3.77,0.76,-1.24,"6q23","A20|MGC104522|MGC138687|MGC138688|OTUD7C|TNFA1P2","tumor necrosis factor, alpha-induced protein 3"
,"PRNP",5621,-17.07,-7.85,-5.57,1.24,"20p13","ASCR|CD230|CJD|GSS|MGC26679|PRIP|PrP|PrP27-30|PrP33-35C|PrPc","prion protein (p27-30) (Creutzfeldt-Jakob disease, Gerstmann-Strausler-Scheinker syndrome, fatal familial insomnia)"
,"ASS1",445,-17.07,1.98,0.94,2.09,"9q34.1","ASS|CTLN1","argininosuccinate synthetase 1"
,"ZCCHC11",23318,-17.09,-4.81,-0.91,0.63,"1p32.3","PAPD3","zinc finger, CCHC domain containing 11"
,"WWTR1",25937,-17.1,-3.15,3.03,1.57,"3q23-q24","DKFZP586I1419|TAZ","WW domain containing transcription regulator 1"
,"SOX10",6663,-17.1,-10.4,-4.46,0.17,"22q13.1","DOM|MGC15649|WS4","SRY (sex determining region Y)-box 10"
,"PLAGL1",5325,-17.19,-6.19,-9.8,-0.31,"6q24-q25","DKFZp781P1017|LOT1|MGC126275|MGC126276|ZAC|ZAC1","pleiomorphic adenoma gene-like 1"
,"UNC84B",25777,-17.21,-2.58,-6.12,1.39,"22q13.1","KIAA0668|MGC133055|MGC133056|SUN2","unc-84 homolog B (C. elegans)"
,"CDK2AP1",8099,-17.21,-4.66,10.31,6.11,"12q24.31","DOC1|DORC1|ST19|doc-1|p12DOC-1","CDK2-associated protein 1"
,"ACOT9",23597,-17.28,0.73,-0.9,3.34,"Xp22.11","ACATE2|CGI-16|MT-ACT48","acyl-CoA thioesterase 9"
,"SLPI",6590,-17.29,0.3,-2.14,2.94,"20q12","ALK1|ALP|BLPI|HUSI|HUSI-I|MPI|WAP4|WFDC4","secretory leukocyte peptidase inhibitor"
,"MALL",7851,-17.3,-4.15,-6.01,1.77,"2q13","BENE|MGC4419","mal, T-cell differentiation protein-like"
,"CSTB",1476,-17.34,-4.12,9.23,4.18,"21q22.3","CST6|EPM1|PME|STFB","cystatin B (stefin B)"
,"FLJ31951",153830,-17.37,-1.82,-2.6,2.16,"5q33.3","DKFZp686M11215","hypothetical protein FLJ31951"
,"ST8SIA1",6489,-17.47,-6.84,-0.28,-0.04,"12p12.1-p11.2","GD3S|SIAT8|SIAT8A|ST8Sia I|ST8SiaI","ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 1"
,"KRT16",3868,-17.49,-6.49,0.99,2.69,"17q12-q21","CK16|K16|K1CP|KRT16A|NEPPK","keratin 16 (focal non-epidermolytic palmoplantar keratoderma)"
,"LBR",3930,-17.52,-8.74,9.86,2.08,"1q42.1","DHCR14B|LMN2R|MGC9041|PHA","lamin B receptor"
,"LYN",4067,-17.54,-7.57,3.36,1.03,"8q13","FLJ26625|JTK8","v-yes-1 Yamaguchi sarcoma viral related oncogene homolog"
,"SOD2",6648,-17.55,-3.75,7.33,2.59,"6q25.3","IPO-B|MNSOD|Mn-SOD","superoxide dismutase 2, mitochondrial"
,"TCF7L1",83439,-17.57,-9.33,-4.25,-0.35,"2p11.2","TCF-3|TCF3","transcription factor 7-like 1 (T-cell specific, HMG-box)"
,"MICALL1",85377,-17.66,-8.41,3.26,2.2,"22q13.1-q13.2","DKFZp686M2226|FLJ45921|KIAA1668|MICAL-L1|MIRAB13","MICAL-like 1"
,"EGFR",1956,-17.68,-2.6,-7.34,0.96,"7p12","ERBB|ERBB1|mENA","epidermal growth factor receptor (erythroblastic leukemia viral (v-erb-b) oncogene homolog, avian)"
,"KIAA0746",23231,-17.75,-1.49,1.07,1.03,"4p15.2","DKFZp781J1697|FLJ21629|FLJ41299","KIAA0746 protein"
,"S100A8",6279,-17.93,11.53,7.45,5.41,"1q21","60B8AG|CAGA|CFAG|CGLA|CP-10|L1Ag|MA387|MIF|MRP8|NIF|P8","S100 calcium binding protein A8"
,"CXCL1",2919,-18.1,-3.4,-3.4,1.31,"4q21","GRO1|GROa|MGSA|MGSA alpha|MGSA-a|NAP-3|SCYB1","chemokine (C-X-C motif) ligand 1 (melanoma growth stimulating activity, alpha)"
,"GPRC5B",51704,-18.17,-7.2,-1.58,1.33,"16p12","RAIG-2|RAIG2","G protein-coupled receptor, family C, group 5, member B"
,"SFRP1",6422,-18.19,-9.57,-10.33,-1.51,"8p12-p11.1","FRP|FRP-1|FRP1|FrzA|SARP2","secreted frizzled-related protein 1"
,"ODC1",4953,-18.27,-6,7.27,3.17,"2p25","NA","ornithine decarboxylase 1"
,"NFIL3",4783,-18.29,-2.14,-0.73,2.39,"9q22","E4BP4|IL3BP1|NF-IL3A|NFIL3A","nuclear factor, interleukin 3 regulated"
,"TMEM123",114908,-18.41,-1.44,0.59,1.41,"11q22.1","KCT3|PORIMIN|PORMIN","transmembrane protein 123"
,"ARL4C",10123,-18.42,-1.17,-0.17,3.25,"2q37.1","ARL7|LAK","ADP-ribosylation factor-like 4C"
,"RBMS1",5937,-18.55,-0.9,-5.37,1.41,"2q24.2","MGC15146|MGC3331|MSSP|MSSP-1|MSSP-2|MSSP-3|SCR2|YC1","RNA binding motif, single stranded interacting protein 1"
,"TES",26136,-18.58,1.57,-0.08,0.63,"7q31.2","DKFZP586B2022|MGC1146|TESS|TESS-2|TESTIN","testis derived transcript (3 LIM domains)"
,"PRKX",5613,-18.58,-8.31,4.47,1.95,"Xp22.3","PKX1","protein kinase, X-linked"
,"MAPRE2",10982,-18.63,-6.77,-0.93,2.16,"18q12.1","EB1|EB2|RP1","microtubule-associated protein, RP/EB family, member 2"
,"CX3CL1",6376,-18.7,-0.94,-9.1,1.03,"16q13","ABCD-3|C3Xkine|CXC3|CXC3C|NTN|NTT|SCYD1|fractalkine|neurotactin","chemokine (C-X3-C motif) ligand 1"
,"ANXA1",301,-18.8,-5.27,-12.19,0.58,"9q12-q21.2|9q12-q21.2","ANX1|LPC1","annexin A1"
,"PHGDH",26227,-18.91,0.29,8.8,5.35,"1p12","3-PGDH|3PGDH|MGC3017|PDG|PGAD|PGD|PGDH|SERA","phosphoglycerate dehydrogenase"
,"UBE2E3",10477,-18.95,-4.34,-4.52,0.79,"2q32.1","UBCH9|UbcM2","ubiquitin-conjugating enzyme E2E 3 (UBC4/5 homolog, yeast)"
,"TRIM2",23321,-19.04,-6.96,-5.5,1.54,"4q31.3","KIAA0517|RNF86","tripartite motif-containing 2"
,"DSC2",1824,-19.13,-4.74,5.1,2.45,"18q12.1","ARVD11|CDHF2|DG2|DGII/III|DKFZp686I11137|DSC3","desmocollin 2"
,"PLOD1",5351,-19.18,-5.09,2.24,5.43,"1p36.3-p36.2","LH|LLH|PLOD","procollagen-lysine 1, 2-oxoglutarate 5-dioxygenase 1"
,"PROM1",8842,-19.26,-2.05,-1.18,2.44,"4p15.32","AC133|CD133|MSTP061|PROML1","prominin 1"
,"LDHB",3945,-19.43,-7.51,1.51,2.68,"12p12.2-p12.1","LDH-H|TRG-5","lactate dehydrogenase B"
,"RARRES1",5918,-19.45,-0.12,0.43,1.8,"3q25.32-q25.33","TIG1","retinoic acid receptor responder (tazarotene induced) 1"
,"CSDA",8531,-19.5,-3.13,-6.74,0.72,"12p13.1","CSDA1|DBPA|ZONAB","cold shock domain protein A"
,"B3GNT5",84002,-19.58,-9,3.25,3.94,"3q28","B3GN-T5|beta3Gn-T5","UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 5"
,"KCNN4",3783,-19.62,-4.15,0.52,2.37,"19q13.2","IK1|IKCA1|KCA4|KCa3.1|SK4|hIKCa1|hKCa4|hSK4","potassium intermediate/small conductance calcium-activated channel, subfamily N, member 4"
,"PFKP",5214,-19.91,0.65,9.81,7.63,"10p15.3-p15.2","FLJ40226|PFK-C|PFKF","phosphofructokinase, platelet"
,"CRYAB",1410,-19.93,-11.49,-9.93,2.44,"11q22.3-q23.1","CRYA2|CTPP2|HSPB5","crystallin, alpha B"
,"CSRP2",1466,-20,-2.82,-0.96,3.31,"12q21.1","CRP2|LMO5|SmLIM","cysteine and glycine-rich protein 2"
,"PELI1",57162,-20.3,-10.69,-7.49,-1.17,"2p13.3","DKFZp686C18116|MGC50990","pellino homolog 1 (Drosophila)"
,"TRIM29",23650,-20.33,-3.83,-8.65,2,"11q22-q23","ATDC|FLJ36085","tripartite motif-containing 29"
,"CDH3",1001,-20.35,2.74,3.04,2.78,"16q22.1","CDHP|HJMD|PCAD","cadherin 3, type 1, P-cadherin (placental)"
,"NFIB",4781,-20.38,-0.66,-7.54,2.55,"9p24.1","NFI-RED|NFIB2|NFIB3","nuclear factor I/B"
,"FABP7",2173,-20.44,-6.62,0.1,1.91,"6q22-q23","B-FABP|BLBP|DKFZp547J2313|FABPB|MRG","fatty acid binding protein 7, brain"
,"VGLL1",51442,-20.53,-4.66,3.06,4.16,"Xq26.3","TDU|VGL1","vestigial like 1 (Drosophila)"
,"BCL11A",53335,-20.55,-9.99,0.31,1.4,"2p16.1","BCL11A-L|BCL11A-S|BCL11A-XL|CTIP1|EVI9|FLJ10173|FLJ34997|KIAA1809","B-cell CLL/lymphoma 11A (zinc finger protein)"
,"GSTP1",2950,-20.6,-3.54,-2.6,1.98,"11q13","DFN7|FAEES3|GST3|PI","glutathione S-transferase pi"
,"GABRP",2568,-20.78,-11.67,-1.33,2.49,"5q33-q34","MGC126386|MGC126387","gamma-aminobutyric acid (GABA) A receptor, pi"
,"MID1",4281,-20.81,-6.45,-5.72,2.37,"Xp22","BBBG1|FXY|GBBB1|OGS1|OS|OSX|RNF59|TRIM18|XPRF|ZNFXY","midline 1 (Opitz/BBB syndrome)"
,"C11orf75",56935,-20.94,-3.82,-0.91,2.06,"11q13.3-q23.3","FN5","chromosome 11 open reading frame 75"
,"ITM2C",81618,-21.04,-2.2,-1.66,-0.06,"2q37","BRI3|BRICD2C|E25|E25C|ITM3","integral membrane protein 2C"
,"BTG3",10950,-21.12,-5.43,7.93,5.57,"21q21.1-q21.2","ANA|MGC8928|TOB5|TOB55|TOFA","BTG family, member 3"
,"C10orf38",221061,-21.13,-12.86,-2.64,0.38,"10p13","FLJ12884|MGC130014|MGC130015","chromosome 10 open reading frame 38"
,"FOXC1",2296,-21.9,-13.92,1.8,2.88,"6p25","ARA|FKHL7|FREAC3|IGDA|IHG1|IRID1","forkhead box C1"
,"LPIN1",23175,-22.04,-6.24,1.93,1.39,"2p25.1","DKFZp781P1796|KIAA0188","lipin 1"
,"PSAT1",29968,-22.19,-1.83,8.53,3.39,"9q21.2","MGC1460|PSA","phosphoserine aminotransferase 1"
,"FAT",2195,-22.36,1.51,-6.51,1.29,"4q35","CDHF7|FAT1|ME5|hFat1","FAT tumor suppressor homolog 1 (Drosophila)"
,"YBX1",4904,-22.6,-4.45,8.06,3.79,"1p34","BP-8|CSDA2|CSDB|DBPB|MDR-NF1|MGC104858|MGC110976|MGC117250|NSEP-1|NSEP1|YB-1|YB1","Y box binding protein 1"
,"MSN",4478,-22.67,-9.52,-3.28,2.75,"Xq11.2-q12","NA","moesin"
,"LMO4",8543,-23.81,-3.56,-0.88,0.05,"1p22.3","NA","LIM domain only 4"
,,,,,,,,,
"ERBB2","ERBB2",2064,0,"inf",0,3.93,"17q11.2-q12|17q21.1","HER-2|HER-2/neu|HER2|NEU|NGL|TKR1|c-erb B2","v-erb-b2 erythroblastic leukemia viral oncogene homolog 2, neuro/glioblastoma derived oncogene homolog (avian)"
,"GRB7",2886,-6.87,43.35,3.79,4.41,"17q12","NA","growth factor receptor-bound protein 7"
,"STARD3",10948,-4.37,35.05,3.98,3.32,"17q11-q12","CAB1|FLJ41370|MLN64|es64","START domain containing 3"
,"PERLD1",93210,3.74,34.11,0.87,1.96,"17q12","AGLA546|CAB2|MGC9753|PP1498","per1-like domain containing 1"
,"PSMD3",5709,-0.93,30.53,10.68,3.16,"17q12-q21.1","P58|RPN3|S3","proteasome (prosome, macropain) 26S subunit, non-ATPase, 3"
,"THRAP4",9862,3.67,26.2,7.14,2.5,"17q21.1","ARC100|DRIP100|KIAA0130|MED24|MGC8748|TRAP100","thyroid hormone receptor associated protein 4"
,"C17orf37",84299,1.81,24.98,8.41,4.22,"17q12","C35|MGC14832|ORB3|XTP4","chromosome 17 open reading frame 37"
,"PNMT",5409,-3.44,23.91,0.31,1.68,"17q21-q22","MGC34570|PENT|PNMTase","phenylethanolamine N-methyltransferase"
,"GSDML",55876,-4.54,22.68,5.23,3.13,"17q12","PP4052|PRO2521","gasdermin-like"
,"ORMDL3",94103,2.24,22.37,0.72,2.39,"17q12-q21.1","NA","ORM1-like 3 (S. cerevisiae)"
,"TCAP",8557,-0.77,21.78,2.22,3.68,"17q12","CMD1N|LGMD2G|T-cap|TELE|telethonin","titin-cap (telethonin)"
,"PPARBP",5469,-1.27,20.51,6.05,1.55,"17q12-q21.1","CRSP1|CRSP200|DRIP205|DRIP230|MED1|MGC71488|PBP|PPARGBP|RB18A|TRAP220|TRIP2","PPAR binding protein"
,"CRKRS",51755,-1.45,20.26,6.26,4.38,"17q12","CRK7|CRKR|KIAA0904","Cdc2-related kinase, arginine/serine-rich"
,"PSMB3",5691,1.85,19.93,12.72,4.41,"17q12","HC10-II|MGC4147","proteasome (prosome, macropain) subunit, beta type, 3"
,"LASP1",3927,10.1,19.32,2.99,-1.06,"17q11-q21.3","Lasp-1|MLN50","LIM and SH3 protein 1"
,"PCGF2",7703,10.74,17.3,-0.62,0.32,"17q12","MEL-18|MGC10545|RNF110|ZNF144","polycomb group ring finger 2"
,"PRODH",5625,-1.21,16.92,-3.05,-0.73,"22q11.21","FLJ33744|HSPOX2|MGC148078|MGC148079|PIG6|PRODH1|PRODH2|SCZD4|TP53I6","proline dehydrogenase (oxidase) 1"
,"ABCC11",85320,6.23,16.39,-3.74,-1.06,"16q12.1","EWWD|MRP8|WW","ATP-binding cassette, sub-family C (CFTR/MRP), member 11"
,"GALNT7",51809,14.79,16.06,-5.65,-1.82,"4q31.1","GALNAC-T7|GalNAcT7","UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 7 (GalNAc-T7)"
,"ITGB6",3694,-4.13,16.01,-6.6,1.92,"2q24.2","NA","integrin, beta 6"
,,,,,,,,,
"AURKA","AURKA",6790,0,0,"inf",8.7,"20q13.2-q13.3","AIK|ARK1|AURA|AURORA2|BTAK|MGC34538|STK15|STK6|STK7","aurora kinase A"
,"UBE2C",11065,-4.92,0.76,40.74,7.5,"20q13.12","UBCH10|dJ447F3.2","ubiquitin-conjugating enzyme E2C"
,"RACGAP1",29127,0.33,-1.2,35.48,9.37,"12q13.13","HsCYK-4|ID-GAP|MgcRacGAP","Rac GTPase activating protein 1"
,"DLG7",9787,-9.27,-0.53,35.43,8.37,"14q22.3","DLG1|HURP|KIAA0008","discs, large homolog 7 (Drosophila)"
,"TPX2",22974,-8.96,-1.69,35.14,6.46,"20q11.2","C20orf1|C20orf2|DIL-2|DIL2|FLS353|GD:C20orf1|HCA519|HCTP4|REPP86|p100","TPX2, microtubule-associated, homolog (Xenopus laevis)"
,"BUB1",699,-11.22,-2.92,34.53,8.39,"2q14","BUB1A|BUB1L|hBUB1","BUB1 budding uninhibited by benzimidazoles 1 homolog (yeast)"
,"CCNB2",9133,-10.07,-1.14,34.33,8.95,"15q22.2","HsT17299","cyclin B2"
,"CENPA",1058,-11.91,-3.1,34.13,8.2,"2p24-p21","NA","centromere protein A"
,"PTTG1",9232,-8.35,-3.05,33.95,7.26,"5q35.1","EAP1|HPTTG|MGC126883|MGC138276|PTTG|SECURIN|TUTR1","pituitary tumor-transforming 1"
,"MELK",9833,-10.88,-1.83,32.87,9.21,"9p13.2","HPK38|KIAA0175","maternal embryonic leucine zipper kinase"
,"CENPF",1063,-9.82,-2.82,32.39,7.97,"1q32-q41","CENF|PRO1779|hcp-1","centromere protein F, 350/400ka (mitosin)"
,"BIRC5",332,-4.26,0.01,32.27,7.72,"17q25","API4|EPR-1","baculoviral IAP repeat-containing 5 (survivin)"
,"NEK2",4751,2.51,-1.91,32.19,7.51,"1q32.2-q41","HsPK 21|HsPK21|NEK2A|NLK1","NIMA (never in mitosis gene a)-related kinase 2"
,"FOXM1",2305,-11.16,-5.23,31.82,6.49,"12p13","FKHL16|FOXM1B|HFH-11|HFH11|HNF-3|INS-1|MPHOSPH2|MPP-2|MPP2|PIG29|TRIDENT","forkhead box M1"
,"KIF20A",10112,-6.14,-0.48,31.8,7.46,"5q31","FLJ21151|MKLP2|RAB6KIFL","kinesin family member 20A"
,"PRC1",9055,-1.38,-0.97,31.66,7.66,"15q26.1","ASE1|MGC1671|MGC3669","protein regulator of cytokinesis 1"
,"KIF2C",11004,-10.85,-2.61,31.39,6.49,"1p34.1","KNSL6|MCAK","kinesin family member 2C"
,"CKS2",1164,-3.26,-1.26,31.19,6.69,"9q22","CKSHS2","CDC28 protein kinase regulatory subunit 2"
,"DKFZp762E1312",55355,-9.15,-1.06,30.88,7.62,"2q37.1","hFLEG1","hypothetical protein DKFZp762E1312"
,"TOP2A",7153,0.89,3.89,30.48,5.57,"17q21-q22","TOP2|TP2A","topoisomerase (DNA) II alpha 170kDa"
,"ZWINT",11130,1.65,4.04,30.27,7.65,"10q21-q22","HZwint-1|KNTC2AP|MGC117174","ZW10 interactor"
,"MAD2L1",4085,-3.68,-0.97,30.2,8.09,"4q27","HSMAD2|MAD2","MAD2 mitotic arrest deficient-like 1 (yeast)"
,"TRIP13",9319,-6.69,-1.38,29.94,7.46,"5p15.33","16E1BP","thyroid hormone receptor interactor 13"
,"ESPL1",9700,2.49,-2.05,29.93,6.18,"12q","ESP1|FLJ46492|KIAA0165|SEPARIN","extra spindle pole bodies homolog 1 (S. cerevisiae)"
,"CDC2",983,-3.3,0.96,29.79,6.9,"10q21.1","CDC28A|CDK1|DKFZp686L20222|MGC111195","cell division cycle 2, G1 to S and G2 to M"
,"RRM2",6241,-7.71,7.51,29.71,7.86,"2p25-p24","R2|RR2M","ribonucleotide reductase M2 polypeptide"
,"CDCA8",55143,-12.39,-2.09,29.44,7.3,"1p34.3","BOR|FLJ10468|FLJ12042","cell division cycle associated 8"
,"CENPE",1062,-4.98,-0.72,29.42,6.37,"4q24-q25","KIF10","centromere protein E, 312kDa"
,"MYBL2",4605,-11.25,2.57,29.37,8.66,"20q13.1","B-MYB|BMYB|MGC15600","v-myb myeloblastosis viral oncogene homolog (avian)-like 2"
,"EZH2",2146,-8.7,-3.17,29.36,7.34,"7q35-q36","ENX-1|EZH1|MGC9169","enhancer of zeste homolog 2 (Drosophila)"
,"CCNB1",891,-1.38,2.67,29.25,6.67,"5q12","CCNB","cyclin B1"
,"TTK",7272,-13.28,-3.19,29.13,5.76,"6q13-q21","ESK|FLJ38280|MPS1L1|PYT","TTK protein kinase"
,"SPAG5",10615,-0.92,11.39,29.09,7.66,"17q11.2","DEEPEST|MAP126|hMAP126","sperm associated antigen 5"
,"KIFC1",3833,-6.15,-1.12,28.96,7.24,"6p21.3","HSET|KNSL2|MGC1202|MGC149736|MGC149737|MKLP2|RAB6-KIFL","kinesin family member C1"
,"KIF4A",24137,-6.25,-1.91,28.92,6.19,"Xq13.1","FLJ12530|FLJ12655|FLJ14204|FLJ20631|HSA271784|KIF4|KIF4-G1","kinesin family member 4A"
,"HMMR",3161,-1.84,-1.8,28.76,7.74,"5q33.2-qter","CD168|IHABP|MGC119494|MGC119495|RHAMM","hyaluronan-mediated motility receptor (RHAMM)"
,"KPNA2",3838,-4.95,4.88,28.62,6.57,"17q23.1-q23.3","IPOA1|QIP2|RCH1|SRP1alpha","karyopherin alpha 2 (RAG cohort 1, importin alpha 1)"
,"CEP55",55165,-8.54,-1.13,28.62,8.51,"10q23.33","C10orf3|FLJ10540|URCC6","centrosomal protein 55kDa"
,"KNTC2",10403,-9.81,-3.76,28.35,6.55,"18p11.32","HEC|HEC1|NDC80|hsNDC80","kinetochore associated 2"
,"KIF23",9493,-5.88,-2.8,28.25,7.87,"15q23","CHO1|KNSL5|MKLP-1|MKLP1","kinesin family member 23"
,"UBE2S",27338,-3.12,0.61,28.2,7.09,"19q13.43","E2-EPF","ubiquitin-conjugating enzyme E2S"
,"CSE1L",1434,3.56,-0.68,28.17,6.41,"20q13","CAS|CSE1|MGC117283|MGC130036|MGC130037|XPO2","CSE1 chromosome segregation 1-like (yeast)"
,"TROAP",10024,-0.22,1.55,28.06,6.6,"12q13.12","TASTIN","trophinin associated protein (tastin)"
,"NCAPG",64151,-6.33,-2.24,27.89,5.7,"4p15.33","CAPG|CHCG|FLJ12450|HCAP-G|MGC126525|NY-MEL-3","non-SMC condensin I complex, subunit G"
,"KIF11",3832,-3.51,-2.16,27.76,6.57,"10q24.1","EG5|HKSP|KNSL1|TRIP5","kinesin family member 11"
,"PCNA",5111,-0.33,-3.39,27.7,6.22,"20pter-p12","MGC8367","proliferating cell nuclear antigen"
,"ASPM",259266,-7.55,-1.73,27.49,7.44,"1q31","ASP|Calmbp1|DKFZp686N06184|FLJ10517|FLJ10549|FLJ43117|MCPH5","asp (abnormal spindle) homolog, microcephaly associated (Drosophila)"
,"KIAA0101",9768,2.46,2.63,27.43,6.9,"15q22.31","L5|NS5ATP9|OEATC-1|p15(PAF)","KIAA0101"
,"BUB1B",701,-4.28,0.8,27.43,6.58,"15q15","BUB1beta|BUBR1|Bub1A|MAD3L|SSK1|hBUBR1","BUB1 budding uninhibited by benzimidazoles 1 homolog beta (yeast)"
,"NCAPH",23397,-7.86,-1.29,27.36,5.74,"2q11.2","BRRN1|CAP-H|HCAP-H","non-SMC condensin I complex, subunit H"
,"MLF1IP",79682,-0.12,4.23,27.19,7.49,"4q35.1","CENP-50|CENP-U|CENP-U(50)|CENPU|FLJ23468|KLIP1","MLF1 interacting protein"
,"CDKN3",1033,-5.44,2.56,27.17,7.38,"14q22","CDI1|CIP2|FLJ25787|KAP|KAP1|MGC70625","cyclin-dependent kinase inhibitor 3 (CDK2-associated dual specificity phosphatase)"
,"TACC3",10460,-3.02,0.67,27.08,5.25,"4p16.3","ERIC1|MGC117382|MGC133242","transforming, acidic coiled-coil containing protein 3"
,"CDC25C",995,0.8,-0.37,27.01,5.38,"5q31","CDC25","cell division cycle 25 homolog C (S. cerevisiae)"
,"TIMELESS",8914,5.54,2.43,26.98,7.06,"12q12-q13","FLJ12640|FLJ20714|TIM|TIM1|hTIM","timeless homolog (Drosophila)"
,"CDC20",991,-9.52,-0.12,26.66,6.35,"1p34.1","CDC20A|MGC102824|bA276H19.3|p55CDC","cell division cycle 20 homolog (S. cerevisiae)"
,"UBE2T",29089,-0.43,2.39,26.45,7.76,"1q32.1","HSPC150|PIG50","ubiquitin-conjugating enzyme E2T (putative)"
,"MCM6",4175,-13.11,-1.95,26.45,6.9,"2q21","MCG40308|Mis5|P105MCM","minichromosome maintenance deficient 6 homolog (S. cerevisiae)"
,"LMNB1",4001,-4.41,-0.22,26.37,6.12,"5q23.3-q31.1","LMN|LMN2|LMNB|MGC111419","lamin B1"
,"RAE1",8480,9.58,3.75,26.24,5.7,"20q13.31","FLJ30608|MGC117333|MGC126076|MGC126077|MIG14|MRNP41|Mnrp41|dJ481F12.3|dJ800J21.1","RAE1 RNA export 1 homolog (S. pombe)"
,"DTL",51514,1.13,-0.39,26.23,6.8,"1q32.1-q32.2","CDT2|DCAF2|L2DTL|RAMP","denticleless homolog (Drosophila)"
,"NUSAP1",51203,-1.2,0.16,26.16,6.5,"15q15.1","ANKT|BM037|FLJ13421|LNP|PRO0310p1|Q0310|SAPL","nucleolar and spindle associated protein 1"
,"PBK",55872,-0.75,-5.29,25.97,6.12,"8p21.2","FLJ14385|Nori-3|SPK|TOPK","PDZ binding kinase"
,"FEN1",2237,-4.19,-1.34,25.69,6.53,"11q12","FEN-1|MF1|RAD2","flap structure-specific endonuclease 1"
